Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range
ECA;Cen;ECA;0.94;94;1;0.78;1;100;99;7.265572;6.82963768;0.068986239
ECA;Cen;ECA;0.83;83;2;0.56;1;100;99;7.265572;6.03042476;0.060913381
ECA;Cen;ECA;0.64;64;3;0.33;1;100;99;7.265572;4.64996608;0.046969354
ECA;Cen;ECA;0.38;38;4;0.11;1;100;99;7.265572;2.76091736;0.027888054
ThickA;Cen;ECA;0.35;35;1;0.78;1;100;99;7.265572;2.5429502;0.025686366
ThickA;Cen;ECA;0.23;23;2;0.56;1;100;99;7.265572;1.67108156;0.016879612
ThickA;Cen;ECA;0.15;15;3;0.33;1;100;99;7.265572;1.0898358;0.011008442
ThickA;Cen;ECA;0.11;11;4;0.11;1;100;99;7.265572;0.79921292;0.008072858
ECB;Cen;ECA;0.9;90;1;0.78;1;100;99;7.265572;6.5390148;0.066050655
ECB;Cen;ECA;0.83;83;2;0.56;1;100;99;7.265572;6.03042476;0.060913381
ECB;Cen;ECA;0.79;79;3;0.33;1;100;99;7.265572;5.73980188;0.057977797
ECB;Cen;ECA;0.78;78;4;0.11;1;100;99;7.265572;5.66714616;0.057243901
ThickB;Cen;ECA;1.02;102;1;0.78;1;100;99;7.265572;7.41088344;0.074857408
ThickB;Cen;ECA;1.02;102;2;0.56;1;100;99;7.265572;7.41088344;0.074857408
ThickB;Cen;ECA;1.04;104;3;0.33;1;100;99;7.265572;7.55619488;0.076325201
ThickB;Cen;ECA;1.12;112;4;0.11;1;100;99;7.265572;8.13744064;0.08219637
ECC;Cen;ECA;0.97;97;1;0.78;1;100;99;7.265572;7.04760484;0.071187928
ECC;Cen;ECA;0.97;97;2;0.56;1;100;99;7.265572;7.04760484;0.071187928
ECC;Cen;ECA;1;100;3;0.33;1;100;99;7.265572;7.265572;0.073389616
ECC;Cen;ECA;1.05;105;4;0.11;1;100;99;7.265572;7.6288506;0.077059097
ECA;Cen;ThickA;0.99;99;1;0.78;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ECA;Cen;ThickA;0.96;96;2;0.56;0.05;1.45;1.4;0.28212;0.2708352;0.193453714
ECA;Cen;ThickA;0.91;91;3;0.33;0.05;1.45;1.4;0.28212;0.2567292;0.183378
ECA;Cen;ThickA;0.85;85;4;0.11;0.05;1.45;1.4;0.28212;0.239802;0.171287143
ThickA;Cen;ThickA;0.83;83;1;0.78;0.05;1.45;1.4;0.28212;0.2341596;0.167256857
ThickA;Cen;ThickA;0.65;65;2;0.56;0.05;1.45;1.4;0.28212;0.183378;0.130984286
ThickA;Cen;ThickA;0.48;48;3;0.33;0.05;1.45;1.4;0.28212;0.1354176;0.096726857
ThickA;Cen;ThickA;0.27;27;4;0.11;0.05;1.45;1.4;0.28212;0.0761724;0.054408857
ECB;Cen;ThickA;0.96;96;1;0.78;0.05;1.45;1.4;0.28212;0.2708352;0.193453714
ECB;Cen;ThickA;0.92;92;2;0.56;0.05;1.45;1.4;0.28212;0.2595504;0.185393143
ECB;Cen;ThickA;0.86;86;3;0.33;0.05;1.45;1.4;0.28212;0.2426232;0.173302286
ECB;Cen;ThickA;0.8;80;4;0.11;0.05;1.45;1.4;0.28212;0.225696;0.161211429
ThickB;Cen;ThickA;1.02;102;1;0.78;0.05;1.45;1.4;0.28212;0.2877624;0.205544571
ThickB;Cen;ThickA;1.04;104;2;0.56;0.05;1.45;1.4;0.28212;0.2934048;0.209574857
ThickB;Cen;ThickA;1.06;106;3;0.33;0.05;1.45;1.4;0.28212;0.2990472;0.213605143
ThickB;Cen;ThickA;1.13;113;4;0.11;0.05;1.45;1.4;0.28212;0.3187956;0.227711143
ECC;Cen;ThickA;0.99;99;1;0.78;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ECC;Cen;ThickA;0.98;98;2;0.56;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECC;Cen;ThickA;0.96;96;3;0.33;0.05;1.45;1.4;0.28212;0.2708352;0.193453714
ECC;Cen;ThickA;0.94;94;4;0.11;0.05;1.45;1.4;0.28212;0.2651928;0.189423429
ECA;Cen;ECB;0.96;96;1;0.78;1;100;99;18.889109;18.13354464;0.183167118
ECA;Cen;ECB;0.92;92;2;0.56;1;100;99;18.889109;17.37798028;0.175535154
ECA;Cen;ECB;0.87;87;3;0.33;1;100;99;18.889109;16.43352483;0.1659952
ECA;Cen;ECB;0.86;86;4;0.11;1;100;99;18.889109;16.24463374;0.164087209
ThickA;Cen;ECB;0.98;98;1;0.78;1;100;99;18.889109;18.51132682;0.186983099
ThickA;Cen;ECB;0.95;95;2;0.56;1;100;99;18.889109;17.94465355;0.181259127
